view_name,col_pos,column_name,data_type
V_LIST_G07_INVOICE,1,INVOICE_ID,int
V_LIST_G07_INVOICE,2,DELIVERY_ID,int
V_LIST_G07_INVOICE,3,SALESORG_ID,int
V_LIST_G07_INVOICE,4,RechnungsDatum,date
V_LIST_G07_INVOICE,5,FälligkeitsDatum,date
V_LIST_G07_INVOICE,6,Versandart,int
V_LIST_G07_INVOICE,7,Zahlungsbedingung,int
V_LIST_G07_INVOICE,8,KundenNr,int
V_LIST_G07_INVOICE,9,Firmenname,varchar
V_LIST_G07_INVOICE,10,PLZ,varchar
V_LIST_G07_INVOICE,11,Firmensitz,varchar
V_LIST_G07_INVOICE,12,BetragNettoEUR,decimal
V_LIST_G07_INVOICE,13,BetragUstEUR,decimal
V_LIST_G07_INVOICE,14,BetragGesamtEUR,decimal
V_LIST_G07_INVOICE,15,AnzahlPositions,decimal
V_LIST_G07_INVOICE,16,Status,int
V_LIST_G07_INVOICE,17,ErfasstVon,nvarchar
V_LIST_G07_INVOICE,18,ErfasstAm,datetime
V_LIST_G07_INVOICE,19,GeändertVon,nvarchar
V_LIST_G07_INVOICE,20,GeändertAm,datetime
V_LIST_G08_PAYMENT_RECEIPT,1,RECEIPT_ID,int
V_LIST_G08_PAYMENT_RECEIPT,2,INVOICE_ID,int
V_LIST_G08_PAYMENT_RECEIPT,3,RECEIPT_DATE,date
V_LIST_G08_PAYMENT_RECEIPT,4,PAYMENT_METHOD,int
V_LIST_G08_PAYMENT_RECEIPT,5,RECEIPT_VALUE,money
V_LIST_G08_PAYMENT_RECEIPT,6,DIFFERENCE_AMOUNT,money
V_LIST_G08_PAYMENT_RECEIPT,7,SKONTO_BERECHTIGT_YN,char
V_LIST_G08_PAYMENT_RECEIPT,8,RECEIPT_STATUS,int
V_LIST_G08_PAYMENT_RECEIPT,9,STORNO_YN,char
V_LIST_G08_PAYMENT_RECEIPT,10,STORNO_REFERENCE_ID,int
V_LIST_G08_PAYMENT_RECEIPT,11,CLARIFY_REASON,nvarchar
V_LIST_G08_PAYMENT_RECEIPT,12,ESKALATION_AM,date
V_LIST_G08_PAYMENT_RECEIPT,13,VERWENDUNGSZWECK,nvarchar
V_LIST_G08_PAYMENT_RECEIPT,14,INS_USER,nvarchar
V_LIST_G08_PAYMENT_RECEIPT,15,INS_DATE,datetime
V_LIST_G08_PAYMENT_RECEIPT,16,UPD_USER,nvarchar
V_LIST_G08_PAYMENT_RECEIPT,17,UPD_DATE,datetime
V_LIST_G09_INVOICE_TAX_B2C,1,INVOICE_ID,int
V_LIST_G09_INVOICE_TAX_B2C,2,DELIVERY_ID,int
V_LIST_G09_INVOICE_TAX_B2C,3,SALESORG_ID,int
V_LIST_G09_INVOICE_TAX_B2C,4,INVOICE_DATE,date
V_LIST_G09_INVOICE_TAX_B2C,5,DUE_DATE,date
V_LIST_G09_INVOICE_TAX_B2C,6,INVOICE_STATUS,int
V_LIST_G09_INVOICE_TAX_B2C,7,SEND_CHANNEL,int
V_LIST_G09_INVOICE_TAX_B2C,8,PAYMENT_TERMS,int
V_LIST_G09_INVOICE_TAX_B2C,9,AMOUNT_PAID,money
V_LIST_G09_INVOICE_TAX_B2C,10,INS_USER,nvarchar
V_LIST_G09_INVOICE_TAX_B2C,11,INS_DATE,datetime
V_LIST_G09_INVOICE_TAX_B2C,12,UPD_USER,nvarchar
V_LIST_G09_INVOICE_TAX_B2C,13,UPD_DATE,datetime
